Status	Id	Label	Title	JS	Description	Flags
published	root	Wolo	Wolo: word based location codes	0	Word based location codes	EXTERNAL
published	about	About	About Wolo	0	Word based location codes	HIDE_TITLE
published	faq	FAQ	Wolo: Frequently asked questions	0	Frequently asked questions about Wolo Code
published	features	Features	Wolo: Features	0	Features of the Wolo app	
published	case	Case	Wolo: Location case	0	Case - Wolo location	HIDE_TITLE
published	competition	Competition	Wolo: Location competition	0	Competition - Wolo Location	HIDE_TITLE
published	presentation	Presentation	Wolo: Location presentation	1	Slideshow - Wolo location	HIDE_TITLE
published	downloads	Downloads	Wolo: Downloads	0	Download Wolo binaries
published	terms	Terms of use	Wolo: Terms of use	0	Terms of use of Wolo Code	
published	policy	Privacy Policy	Wolo: Privacy Policy	0	Privacy policy of Wolo Code	
published	data_deletion	User data deletion	User data deletion	0	User data deletion process	
published	license	License	Wolo: Project license	0	Licenses to various intellectual properties related to the Wolo project	
published	logo	Logo	Wolo: logo	0	Logo of Wolo Code	
published	media	Media	WCode in media	0	WCode in media
published	about_me	About me	About Ujjwal Singh - inventor of Wolo	0	Web links of the creator of Wolo - Ujjwal Singh	
published	credits	Credits	Wolo: credits	0	Credits - for opensource and acknowledgements	
published	press_release	Press Release	Wolo: Press Release	0	Wolo Code press releases	
published	press_release/launch	App launch	Press Release on the launch of Wolo Code App	0	Press Release on the launch of Wolo Codes App	
